"en","zh","g","resource_kind","source_url","source_text","source_version","verified_at","review_status","reviewer"
"test-remediation","測試修復","Vanta 合規測試 (vanta)","外掛型技能","","","","","待逐筆查證",""
"now-sdk-explain","now-sdk 說明","Fluent ServiceNow 開發工具 (fluent)","外掛型技能","","","","","待逐筆查證",""
"desktop-commander-overview","能力總覽","Desktop Commander 桌面系統操作 (desktop-commander)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-audit-current-tracking","稽核埋點現況","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-business-case","埋點商業論證","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-design-tracking-plan","設計埋點計畫","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-generate-implementation-guide","產實作指南","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-implement-tracking","落地埋點程式","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-instrument-new-feature","新功能埋點","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"product-tracking-model-product","產品建模","Product Tracking 產品埋點 (product-tracking-skills)","外掛型技能","","","","","待逐筆查證",""
"cowork-plugin-customizer","外掛客製","Cowork 外掛管理 (cowork-plugin-management)","外掛型技能","","","","","待逐筆查證",""
"create-cowork-plugin","建立外掛","Cowork 外掛管理 (cowork-plugin-management)","外掛型技能","","","","","待逐筆查證",""
"analyzing-range-distribution","Range 分佈分析","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"analyzing-schema-change-storage-risk","Schema 變更儲存風險","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"auditing-cloud-cluster-security","叢集安全稽核","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"auditing-table-statistics","表統計稽核","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"benchmarking-transaction-patterns","交易模式基準","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"cockroachdb-sql","CockroachDB SQL 資料庫查詢","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-audit-logging","設定稽核日誌","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-ip-allowlists","設定 IP 白名單","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-log-export","設定日誌匯出","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-private-connectivity","設定私有連線","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"configuring-sso-and-scim","設定 SSO/SCIM","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"designing-application-transactions","設計應用交易","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"designing-multi-region-applications","設計多區域應用","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"enabling-cmek-encryption","啟用 CMEK 加密","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"enforcing-password-policies","強化密碼政策","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"hardening-user-privileges","強化使用者權限","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"managing-certificates-and-encryption","憑證與加密管理","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"managing-cluster-capacity","叢集容量管理","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"managing-cluster-settings","叢集設定管理","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"managing-tls-certificates","TLS 憑證管理","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"molt-fetch","MOLT 資料搬遷","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"molt-replicator","MOLT 複寫","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"molt-verify","MOLT 驗證","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"monitoring-background-jobs","背景工作監控","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"performing-cluster-maintenance","叢集維護","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"preparing-compliance-documentation","合規文件準備","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"profiling-statement-fingerprints","語句指紋剖析","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"profiling-transaction-fingerprints","交易指紋剖析","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"provisioning-cluster-for-production","生產佈建","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"reviewing-cluster-health","叢集健康檢視","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"setting-up-local-cluster","本機叢集建置","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"triaging-live-sql-activity","即時 SQL 活動分流","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"upgrading-cluster-version","版本升級","CockroachDB 分散式資料庫 (cockroachdb)","外掛型技能","","","","","待逐筆查證",""
"twilio-account-setup","帳號設定","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-agent-augmentation-architect","真人坐席增強規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-agent-connect","第三方 AI 代理接入","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-ai-agent-architect","AI 對話代理規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-call-recordings","通話錄音","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-cli-reference","Twilio CLI 命令列工具","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-compliance-onboarding","合規上線登記","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-compliance-traffic","流量合規規範","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-conference-calls","多方通話","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-content-template-builder","訊息模板","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-conversation-intelligence","對話情報","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-conversation-orchestrator","對話編排","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-conversations-classic-api","對話 API（classic）","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-customer-memory","客戶記憶","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-customer-support-architect","客服系統規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-debugging-observability","除錯與可觀測性","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-email-deliverability-advisor","Email 送達顧問（Twilio）","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-email-send","Email 寄送（Twilio）","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-enterprise-knowledge","企業知識庫","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-iam-auth-setup","IAM 認證設定","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-identity-verification-advisor","身分驗證規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-lookup-phone-intelligence","號碼情報查詢","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-marketing-promotions-advisor","行銷推廣規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-messaging-channel-advisor","訊息通道選擇","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-messaging-overview","訊息總覽","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-messaging-services","訊息服務","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-messaging-webhooks","訊息 Webhook","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-notifications-alerts-advisor","通知警示規劃","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-numbers-senders","號碼與寄件方","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-organizations-setup","組織設定","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-rcs-messaging","RCS 訊息","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-regulatory-compliance-bundles","法規合規包","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-reliability-patterns","可靠性模式","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-security-api-auth","安全 API 認證","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-security-compliance-hipaa","HIPAA 合規","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-security-hardening","安全強化","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-send-message","發送訊息","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sms-isv-setup","SMS ISV 設定","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sms-send-message","SMS 深入參考","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-taskrouter-routing","TaskRouter 路由","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-verify-send-otp","Twilio Verify 一次性密碼驗證","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-voice-conversation-relay","ConversationRelay 語音 AI","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-voice-outbound-calls","外撥語音","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-voice-twiml","TwiML 語音邏輯","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-webhook-architecture","Webhook 架構","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-whatsapp-manage-senders","WhatsApp 寄件方管理","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-whatsapp-send-message","WhatsApp 深入參考","Twilio 通訊開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-account-setup","SendGrid 帳號設定","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-deliverability-advisor","送達顧問","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-email-send","Email 寄送","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-email-settings","Email 設定","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-engagement-quality","互動品質（SEQ）","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-inbound-parse","進站解析","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-suppressions","退信抑制","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"twilio-sendgrid-webhooks","事件 Webhook","SendGrid 電子郵件開發 (twilio-developer-kit)","外掛型技能","","","","","待逐筆查證",""
"build-zoom-bot","建會議機器人","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"build-zoom-meeting-app","建會議 App","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"choose-zoom-approach","選建置方式","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"cobrowse-sdk","Cobrowse SDK 共同瀏覽開發套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"contact-center","Contact Center 聯絡中心","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"debug-zoom","除錯 Zoom","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"debug-zoom-integration","除錯整合","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"design-mcp-workflow","設計 MCP 工作流","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"general","跨產品參考","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"meeting-sdk","Meeting SDK 會議開發套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"oauth","OAuth 認證","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"phone","Zoom Phone 雲端電話","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"plan-zoom-integration","規劃整合","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"plan-zoom-product","規劃產品面","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"probe-sdk","Probe SDK 媒體診斷套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"rest-api","REST API 網路服務介面","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"rivet-sdk","Rivet SDK 整合開發套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"rtms","RTMS 即時媒體","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"scribe","Scribe 轉錄","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"setup-zoom-mcp","設定 MCP","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"setup-zoom-oauth","設定 OAuth","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"start","入門路由","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"team-chat","Team Chat 團隊聊天","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"ui-toolkit","UI Toolkit 介面工具組","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"video-sdk","Video SDK 視訊開發套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"virtual-agent","Virtual Agent 虛擬客服代理","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"webhooks","Webhook 事件回呼","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"websockets","WebSocket 即時連線","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"zoom-apps-sdk","Apps SDK 應用程式開發套件","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"zoom-mcp","Zoom MCP 模型情境協定","Zoom 開發 (zoom-plugin)","外掛型技能","","","","","待逐筆查證",""
"falco","VCL 檢查（falco）","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"fastlike","Compute 本機執行","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"fastly","Fastly 平台","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"fastly-cli","Fastly CLI 命令列工具","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"fastly-ngwaf","NGWAF 稽核","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"viceroy","Viceroy 本機","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"xvcl","XVCL 擴充","Fastly CDN 邊緣網路 (fastly-agent-toolkit)","外掛型技能","","","","","待逐筆查證",""
"analyze","數據分析","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"build-dashboard","建儀表板","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"create-viz","建視覺化","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"data-context-extractor","資料情境萃取","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"data-visualization","資料視覺化","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"explore-data","探索資料","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"sql-queries","SQL 查詢","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"statistical-analysis","統計分析","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"validate-data","分析驗證","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"write-query","寫查詢","Data 數據分析 (data)","外掛型技能","","","","","待逐筆查證",""
"agent-activity-log","代理活動日誌","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"airtable-cli","Airtable CLI 命令列工具","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"airtable-filters","Airtable 篩選","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"airtable-overview","Airtable 概念","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"marketing-ops","行銷營運","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"product-ops","產品營運","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"sales-ops","銷售營運","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"show-airtable-link","提供連結","Airtable 資料庫與營運 (airtable)","外掛型技能","","","","","待逐筆查證",""
"audit-support","稽核支援","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"close-management","月結管理","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"financial-statements","財務報表","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"journal-entry","分錄","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"journal-entry-prep","分錄準備","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"reconciliation","對帳","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"sox-testing","SOX 測試","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"variance-analysis","差異分析","Finance 財會 (finance)","外掛型技能","","","","","待逐筆查證",""
"build-model","建模型","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"bull-bear","多空情境","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"capital-allocation","資本配置","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"comp-sheet","同業比較表","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"comps","交易倍數比較","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"dcf","DCF 估值","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"earnings-flash","財報速讀","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"earnings-prep","財報前準備","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"earnings-review","財報檢視","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"guidance-tracker","展望追蹤","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"ib-deck","IB 簡報","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"industry","產業比較","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"inflection","拐點偵測","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"initiate","啟動覆蓋","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"precedent-transactions","先例交易","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"research-note","研究報告","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"setup","設定","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"supply-chain","供應鏈儀表板","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"tearsheet","一頁概覽","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"unit-economics","單位經濟","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"working-capital","營運資金","Daloopa 財務模型 (daloopa)","外掛型技能","","","","","待逐筆查證",""
"catalyst-monitor","催化劑監測","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"company-brief","公司簡報","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"country-analysis","國家分析","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"country-sector-analysis","國家×產業分析","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"cross-sector","跨產業比較","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"earnings-digest","財報摘要","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"earnings-preview","財報前瞻","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"earnings-quality-screen","盈餘品質篩檢","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"earnings-reaction","財報反應","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"g7-comparison","G7 比較","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"investment-memo","投資備忘錄","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"moat-governance-review","護城河與治理","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"peer-comparables","同業可比","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"quick-take","快速觀點","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"regional-comparison","區域比較","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"risk-assessment","風險評估","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
