"en","zh","g","resource_kind","source_url","source_text","source_version","verified_at","review_status","reviewer"
"scenario-analysis","情境分析","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"sector-analysis","產業分析","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"sector-playbook","產業 Playbook","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"thematic-research","主題研究","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"valuation-snapshot","估值快照","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"variant-perception","變異認知","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"financial-research-analyst","財務研究分析師","Bigdata.com 投研分析 (bigdata-com)","外掛型技能","","","","","待逐筆查證",""
"analyze-bond-basis","債券基差分析","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"analyze-bond-rv","債券相對價值","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"analyze-fx-carry","外匯利差交易","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"analyze-option-vol","選擇權波動率","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"analyze-swap-curve","換匯曲線分析","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"macro-rates","總體與利率","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"research-equity","股票研究（指令）","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"review-fi-portfolio","固收組合檢視（指令）","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"bond-futures-basis","債券期貨基差","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"bond-relative-value","債券相對價值","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"equity-research","股票研究","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"fixed-income-portfolio","固收投資組合","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"fx-carry-trade","外匯利差交易","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"macro-rates-monitor","總體利率監測","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"option-vol-analysis","選擇權波動率分析","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"swap-curve-strategy","換匯曲線策略","LSEG 市場分析 (lseg)","外掛型技能","","","","","待逐筆查證",""
"earnings-preview-beta","財報前瞻（beta）","S&P Global 市場情報 (sp-global)","外掛型技能","","","","","待逐筆查證",""
"funding-digest","募資摘要","S&P Global 市場情報 (sp-global)","外掛型技能","","","","","待逐筆查證",""
"sp-capital-iq-excel-pro","Capital IQ Excel 財務分析","S&P Global 市場情報 (sp-global)","外掛型技能","","","","","待逐筆查證",""
"tear-sheet","公司 Tear Sheet","S&P Global 市場情報 (sp-global)","外掛型技能","","","","","待逐筆查證",""
"carta-compensation-benchmarks","薪酬市場基準","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-compensation-rolematcher","職務分類","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-conversion-calculator","轉換計算","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-discover-commands","指令探索","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-grant-vesting","授予歸屬","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-interaction-reference","互動規範","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-market-benchmarks","投組統計基準","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-portfolio-alerts","投組警示","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-round-history","募資輪歷史","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-valuation-history","估值歷史","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-waterfall-scenarios","瀑布情境","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-witness-signatures","見證簽名","Carta 股權結構 (carta-cap-table)","外掛型技能","","","","","待逐筆查證",""
"carta-budget-actuals","預算實際數","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-budget-scenarios","預算情境","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-budget-vs-actuals","預算對實際","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-co-investors","共同投資人","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-consolidating-balance-sheet","合併資產負債表","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-consolidating-pnl","合併損益表","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-create-budget","建立預算","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-download-tearsheet","下載 Tear Sheet","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-explore-data","探索資料","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-fetch-budget","擷取預算","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-form-adv","Form ADV 投資顧問申報表","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-investors-tutorial","教學導覽","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-performance-benchmarks","績效基準","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"carta-soi","投資明細表（SOI）","Carta 投資人 (carta-investors)","外掛型技能","","","","","待逐筆查證",""
"instrument-data-to-allotrope","儀器資料標準化","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"nextflow-development","Nextflow 流程","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"scientific-problem-selection","科學研究選題","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"scvi-tools","scvi-tools 深度學習","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"single-cell-rna-qc","單細胞 RNA QC","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"start","環境設定","Bio Research 生技研究 (bio-research)","外掛型技能","","","","","待逐筆查證",""
"customer-escalation","客戶案件升級處理","Customer Support 客戶支援 (customer-support)","外掛型技能","","","","","待逐筆查證",""
"customer-research","客戶研究","Customer Support 客戶支援 (customer-support)","外掛型技能","","","","","待逐筆查證",""
"draft-response","回覆草擬","Customer Support 客戶支援 (customer-support)","外掛型技能","","","","","待逐筆查證",""
"kb-article","知識庫文章","Customer Support 客戶支援 (customer-support)","外掛型技能","","","","","待逐筆查證",""
"ticket-triage","工單分流","Customer Support 客戶支援 (customer-support)","外掛型技能","","","","","待逐筆查證",""
"customer-360","客戶 360","Intercom 客服 (intercom)","外掛型技能","","","","","待逐筆查證",""
"install-cli","安裝 CLI","Intercom 客服 (intercom)","外掛型技能","","","","","待逐筆查證",""
"install-messenger","安裝 Messenger","Intercom 客服 (intercom)","外掛型技能","","","","","待逐筆查證",""
"intercom-analysis","Intercom 分析","Intercom 客服 (intercom)","外掛型技能","","","","","待逐筆查證",""
"brief","法務簡報","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"compliance-check","合規檢查","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"legal-response","法務回覆","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"legal-risk-assessment","法務風險評估","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"meeting-briefing","會議簡報","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"review-contract","合約審查","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"signature-request","簽署請求","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"triage-nda","NDA 分流","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"vendor-check","供應商檢查","Legal 法務 (legal)","外掛型技能","","","","","待逐筆查證",""
"comp-analysis","薪酬分析","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"draft-offer","草擬 offer","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"interview-prep","面試準備","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"onboarding","新人到職","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"org-planning","組織規劃","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"people-report","人力報告","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"performance-review","績效檢視","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"policy-lookup","政策查詢","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"recruiting-pipeline","招募管線","HR 人資 (human-resources)","外掛型技能","","","","","待逐筆查證",""
"capacity-plan","產能規劃","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"change-request","變更請求","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"compliance-tracking","合規追蹤","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"process-doc","流程文件","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"process-optimization","流程優化","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"risk-assessment","風險評估","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"runbook","操作手冊","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"status-report","狀態報告","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"vendor-review","供應商檢視","Operations 營運 (operations)","外掛型技能","","","","","待逐筆查證",""
"brainstorm","腦力激盪（指令）","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"competitive-brief","競品簡報","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"metrics-review","指標檢視","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"product-brainstorming","產品腦力激盪","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"roadmap-update","路線圖更新","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"sprint-planning","衝刺規劃","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"stakeholder-update","利害關係人更新","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"synthesize-research","研究綜整","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"write-spec","寫規格","Product Management 產品管理 (product-management)","外掛型技能","","","","","待逐筆查證",""
"memory-management","記憶管理","Productivity 生產力 (productivity)","外掛型技能","","","","","待逐筆查證",""
"start","初始化","Productivity 生產力 (productivity)","外掛型技能","","","","","待逐筆查證",""
"task-management","任務管理","Productivity 生產力 (productivity)","外掛型技能","","","","","待逐筆查證",""
"update","同步更新","Productivity 生產力 (productivity)","外掛型技能","","","","","待逐筆查證",""
"digest","活動摘要","Enterprise Search 企業搜尋 (enterprise-search)","外掛型技能","","","","","待逐筆查證",""
"knowledge-synthesis","知識綜整","Enterprise Search 企業搜尋 (enterprise-search)","外掛型技能","","","","","待逐筆查證",""
"search","企業搜尋","Enterprise Search 企業搜尋 (enterprise-search)","外掛型技能","","","","","待逐筆查證",""
"search-strategy","搜尋策略","Enterprise Search 企業搜尋 (enterprise-search)","外掛型技能","","","","","待逐筆查證",""
"source-management","來源管理","Enterprise Search 企業搜尋 (enterprise-search)","外掛型技能","","","","","待逐筆查證",""
"agent-onboarding","代理上手","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"brand-listening","品牌聆聽","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"brd-browser-debug","瀏覽器除錯","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"bright-data-best-practices","最佳實務","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"bright-data-mcp","Bright Data MCP 網頁資料連接器","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"brightdata-cli","Bright Data CLI 命令列工具","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"competitive-intel","競品情報","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"data-feeds","資料饋送","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"design-mirror","設計鏡像","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"discover-api","Discover API 網頁探索介面","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"js-sdk-best-practices","JS SDK 最佳實務","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"live-research","即時研究","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"price-comparison","比價","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"proxy","代理","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"python-sdk-best-practices","Python SDK 最佳實務","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"rag-pipeline","RAG 管線","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"scrape","抓取","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"scraper-builder","抓取器建置","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"scraper-studio","Scraper Studio 網頁擷取工作室","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"search","搜尋","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"seo-audit","SEO 稽核","Bright Data 網路資料 (brightdata-plugin)","外掛型技能","","","","","待逐筆查證",""
"company-deep-dive","公司深掘","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"competitor-intel","競品情報","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"competitor-positioning","競品定位","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"healthcare-providers-enrich","醫療提供者補全","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"healthcare-providers-extract","醫療提供者萃取","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"healthcare-providers-verify","醫療提供者驗證","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"local-places","在地商家","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"market-finder","市場盤點","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"meeting-prep","會議準備","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"nimble-agent-builder","代理建置器","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"nimble-web-expert","網路專家","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"search","網路搜尋","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"seo-intel","SEO 情報","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"talent-sourcing","人才招募","Nimble 網路研究 (nimble)","外掛型技能","","","","","待逐筆查證",""
"box","Box 整合","Box 內容雲 (box)","外掛型技能","","","","","待逐筆查證",""
"box-legal-workflows","Box 法務概念","Box 內容雲 (box)","外掛型技能","","","","","待逐筆查證",""
"box-legal-workflows-contract","合約審查監控","Box 內容雲 (box)","外掛型技能","","","","","待逐筆查證",""
"box-legal-workflows-intake","客戶 intake","Box 內容雲 (box)","外掛型技能","","","","","待逐筆查證",""
"box-legal-workflows-ma","M&A 資料室","Box 內容雲 (box)","外掛型技能","","","","","待逐筆查證",""
"create-my-tools-profile","工具設定檔","Zapier 自動化整合 (zapier)","外掛型技能","","","","","待逐筆查證",""
"zapier-setup","Zapier 設定","Zapier 自動化整合 (zapier)","外掛型技能","","","","","待逐筆查證",""
"zapier-status","Zapier 狀態","Zapier 自動化整合 (zapier)","外掛型技能","","","","","待逐筆查證",""
"Canva","Canva 線上設計","🔗 連結器 · 設計與創意","連結器","","","","","待逐筆查證",""
"Figma","Figma 設計協作","🔗 連結器 · 設計與創意","連結器","","","","","待逐筆查證",""
"Adobe Creative Cloud","Adobe 創意雲","🔗 連結器 · 設計與創意","連結器","","","","","待逐筆查證",""
"BioRender","BioRender 科學繪圖","🔗 連結器 · 設計與創意","連結器","","","","","待逐筆查證",""
"Cloudinary","Cloudinary 媒體雲","🔗 連結器 · 設計與創意","連結器","","","","","待逐筆查證",""
"Google Drive","Google 雲端硬碟","🔗 連結器 · 文件與儲存","連結器","","","","","待逐筆查證",""
"Box","Box 內容雲","🔗 連結器 · 文件與儲存","連結器","","","","","待逐筆查證",""
"Egnyte","Egnyte 內容平台","🔗 連結器 · 文件與儲存","連結器","","","","","待逐筆查證",""
"Notion","Notion 筆記與資料庫","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"Linear","Linear 議題追蹤","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"ClickUp","ClickUp 任務與專案管理","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"Monday.com","monday.com 工作管理平台","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"Fireflies","Fireflies 會議記錄","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"Granola","Granola 會議筆記","🔗 連結器 · 生產力與筆記","連結器","","","","","待逐筆查證",""
"Slack","Slack 團隊溝通","🔗 連結器 · 溝通與會議","連結器","","","","","待逐筆查證",""
"Zoom","Zoom 視訊會議","🔗 連結器 · 溝通與會議","連結器","","","","","待逐筆查證",""
"Gong","Gong 對話情報","🔗 連結器 · 溝通與會議","連結器","","","","","待逐筆查證",""
"Google Calendar","Google 日曆","🔗 連結器 · 溝通與會議","連結器","","","","","待逐筆查證",""
"HubSpot","HubSpot 客戶關係管理","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"Apollo","Apollo 銷售開發","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"Common Room","Common Room 社群情報","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"ZoomInfo","ZoomInfo 銷售情報","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"Close","Close CRM 銷售管理","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"Outreach","Outreach 銷售外展","🔗 連結器 · 銷售・CRM","連結器","","","","","待逐筆查證",""
"Klaviyo","Klaviyo 電子郵件與簡訊行銷","🔗 連結器 · 行銷・廣告","連結器","","","","","待逐筆查證",""
"Ahrefs","Ahrefs 搜尋引擎優化分析","🔗 連結器 · 行銷・廣告","連結器","","","","","待逐筆查證",""
"Supermetrics","Supermetrics 行銷數據整合","🔗 連結器 · 行銷・廣告","連結器","","","","","待逐筆查證",""
"Postiz","Postiz 社群排程","🔗 連結器 · 行銷・廣告","連結器","","","","","待逐筆查證",""
"Adspirer","Adspirer 廣告","🔗 連結器 · 行銷・廣告","連結器","","","","","待逐筆查證",""
"Supabase","Supabase 雲端資料庫","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Databricks","Databricks 湖倉數據平台","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Hex","Hex 協作式數據分析","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"PlanetScale","PlanetScale 雲端 MySQL 資料庫","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Prisma","Prisma ORM 資料庫工具","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Atlan","Atlan 資料目錄","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"CockroachDB Cloud","CockroachDB Cloud 分散式雲端資料庫","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Airtable","Airtable 雲端資料庫","🔗 連結器 · 資料與資料庫","連結器","","","","","待逐筆查證",""
"Amplitude","Amplitude 產品行為分析","🔗 連結器 · 產品分析","連結器","","","","","待逐筆查證",""
"Pendo","Pendo 產品體驗分析","🔗 連結器 · 產品分析","連結器","","","","","待逐筆查證",""
"Carta","Carta 股權與基金管理","🔗 連結器 · 金融與投資","連結器","","","","","待逐筆查證",""
"Daloopa","Daloopa 財務數據平台","🔗 連結器 · 金融與投資","連結器","","","","","待逐筆查證",""
"Bigdata.com","Bigdata.com 投資研究資料","🔗 連結器 · 金融與投資","連結器","","","","","待逐筆查證",""
"LSEG","LSEG 市場資料","🔗 連結器 · 金融與投資","連結器","","","","","待逐筆查證",""
"S&P Global","S&P Global 市場與財務情報","🔗 連結器 · 金融與投資","連結器","","","","","待逐筆查證",""
"PubMed","PubMed 生醫文獻資料庫","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"bioRxiv / medRxiv","bioRxiv／medRxiv 生醫預印本","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"ChEMBL","ChEMBL 藥物與生物活性資料庫","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"ClinicalTrials.gov","ClinicalTrials.gov 臨床試驗資料庫","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Consensus","Consensus 科學文獻問答","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Benchling","Benchling 生命科學研發平台","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Synapse","Synapse 生醫協作資料平台","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Wiley","Wiley 學術出版資料","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Open Targets","Open Targets 藥物標靶資料","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Owkin","Owkin 生醫人工智慧研究","🔗 連結器 · 生技研究","連結器","","","","","待逐筆查證",""
"Twilio","Twilio 通訊開發","🔗 連結器 · 開發與基礎建設","連結器","","","","","待逐筆查證",""
"Datadog","Datadog 系統監控","🔗 連結器 · 開發與基礎建設","連結器","","","","","待逐筆查證",""
"Sanity","Sanity CMS 內容管理","🔗 連結器 · 開發與基礎建設","連結器","","","","","待逐筆查證",""
"PayPal","PayPal 線上支付","🔗 連結器 · 電商與金流","連結器","","","","","待逐筆查證",""
"Stripe","Stripe 金流與訂閱","🔗 連結器 · 電商與金流","連結器","","","","","待逐筆查證",""
"Square","Square 銷售與收款","🔗 連結器 · 電商與金流","連結器","","","","","待逐筆查證",""
"QuickBooks","QuickBooks 會計管理","🔗 連結器 · 電商與金流","連結器","","","","","待逐筆查證",""
"Intercom","Intercom 客戶溝通與客服","🔗 連結器 · 客服與支援","連結器","","","","","待逐筆查證",""
"Guru","Guru 團隊知識庫","🔗 連結器 · 客服與支援","連結器","","","","","待逐筆查證",""
"DocuSign","DocuSign 電子簽署","🔗 連結器 · 法務與合規","連結器","","","","","待逐筆查證",""
"Atlassian","Atlassian 專案與知識管理（Jira／Confluence）","🔗 連結器 · 法務與合規","連結器","","","","","待逐筆查證",""
"Vanta","Vanta 資安合規管理","🔗 連結器 · 法務與合規","連結器","","","","","待逐筆查證",""
"Claude in Chrome","Claude in Chrome 瀏覽器","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
"Desktop Commander","Desktop Commander 桌面指揮","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
"computer-use","電腦控制","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
"scheduled-tasks","排程任務","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
"mcp-registry","MCP 註冊庫","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
"Cowork Artifacts","Cowork 即時 Artifact","🔗 連結器 · 系統與內建","連結器","","","","","待逐筆查證",""
